ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
3282,Service public,Transport,Métro Angrignon,Angrignon,Station de métro,3500,Boulevard des Trinitaires,0, ,Montréal,H4E 4J3,Le Sud-Ouest,niveau 1,-73.60355894,45.44623737
3283,Service public,Transport,Métro Côte-Sainte-Catherine,Côte-Sainte-Catherine,Station de métro,4780,Chemin de la Côte-Sainte-Catherine,0, ,Montréal,H3W 3G6,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.63274083,45.49240597
3284,Service public,Transport,Métro Plamondon,Plamondon,Station de métro,6250,Avenue Victoria,0, ,Montréal,H3W 2S3,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.6379579,45.49431368
3285,Service public,Transport,Métro Côte-des-Neiges,Côte-des-Neiges,Station de métro,5316,Chemin de la Côte-des-Neiges,0, ,Montréal,H3T 1Y2,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.62257884,45.49626463
3286,Service public,Transport,Métro Université-de-Montréal,Université-de-Montréal,Station de métro,2830,Boulevard Édouard-Monpetit,0, ,Montréal,H3T 1J4,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.61771948,45.50334898
3287,Service public,Transport,Métro Acadie,Acadie,Station de métro,999,Avenue Beaumont,0, ,Montréal,H3N 2Y6,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.62313026,45.52384733
3288,Service public,Transport,Métro Parc,Parc,Station de métro,7245,Rue Hutchison,0, ,Montréal,H3N 2X9,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.62390509,45.53027135
3289,Service public,Transport,Métro De Castelnau,De Castelnau,Station de métro,7300,Boulevard Saint-Laurent,0, ,Montréal,H2R 2X9,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.61996674,45.53518545
3290,Service public,Transport,Métro Fabre,Fabre,Station de métro,1737,Rue Jean-Talon,0, ,Montréal,H2E 1T3,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.60746478,45.54788704
3291,Service public,Transport,Métro D'Iberville,D'Iberville,Station de métro,7151,Rue D'Iberville,0, ,Montréal,H2E 2Y7,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.60211224,45.55382899
3292,Service public,Transport,Métro Saint-Michel,Saint-Michel,Station de métro,7325,Boulevard Saint-Michel,0, ,Montréal,H3N 2H5,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.59989647,45.55978447
3293,Service public,Transport,Gare Parc,Parc,Gare de train,300,Avenue Ogilvy,0, ,Montréal, ,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.62381219,45.53142148
3294,Service public,Transport,Gare Vendôme,Vendôme,Gare de train,5160,Boulevard De Maisonneuve Ouest,0, ,Montréal, ,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 2,-73.60357291,45.47349794
3295,Service public,Transport,Gare du Canal,du Canal,Gare de train,115,Boulevard Saint-Joseph,0, ,Montréal, ,Lachine,niveau 2,-73.65594802,45.43793344
3296,Service public,Transport,Gare LaSalle,LaSalle,Gare de train,9,Rue Highlands,0, ,Montréal, ,Lachine,niveau 2,-73.6570556,45.42548895
3297,Service public,Transport,Gare Lachine,Lachine,Gare de train,4800,Rue Sir-Georges-Simpson,0, ,Montréal, ,Lachine,niveau 2,-73.71108258,45.44862107
3298,Service public,Transport,Gare Montpellier,Montpellier,Gare de train,465,Boulevard de la Côte-Vertu,0, ,Montréal, ,Saint-Laurent,niveau 2,-73.6721447,45.52477987
3299,Service public,Transport,Gare Du Ruisseau,Du Ruisseau,Gare de train,3735,Boulevard Henri-Bourassa Ouest,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6911876,45.52891604
3300,Service public,Transport,Gare Bois-Franc,Bois-Franc,Gare de train,5465,Boulevard Henri-Bourassa Ouest,0, ,Montréal, ,Saint-Laurent,niveau 2,-73.70971711,45.52307137
3301,Service public,Transport,Gare Ahuntsic,Ahuntsic,Gare de train,9615,Boulevard de l'Acadie,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.66251154,45.53528455
